,protName,core,fcc,r,zp,eads,psi,theta,ph,sd,eave
155,1hzh,Ag,111,35.0,-50.0,-165.13987,80.0,85.0,8.5,15.033773400000001,-165.1398699967815
156,1hzh,Ag,111,20.0,-40.0,-165.02087,120.0,65.0,8.5,20.169323700000003,-165.01709034231007
157,1hzh,Ag,111,30.0,-20.0,-154.01139,180.0,35.0,8.5,16.248445200000003,-154.0111658973805
158,1hzh,Ag,111,15.0,-60.0,-158.70494,180.0,30.0,8.5,26.682217500000004,-158.42240899965577
159,1hzh,Ag,111,10.0,-30.0,-156.62521,15.0,135.0,8.5,10.094061600000002,-156.59256475248085
160,1hzh,Ag,111,10.0,-50.0,-147.50158,120.0,55.0,8.5,15.593874000000001,-147.31361896724016
161,1hzh,Ag,111,4.0,-50.0,-122.19115,175.0,20.0,8.5,7.5371055,-122.04463953814282
162,1hzh,Ag,111,8.0,-10.0,-154.63187,175.0,25.0,8.5,8.375463600000002,-154.6290740670421
163,1hzh,Ag,111,50.0,0.0,-141.48615,175.0,35.0,8.5,10.688300100000001,-140.83296864612024
164,1hzh,Ag,111,35.0,0.0,-172.18099,180.0,35.0,8.5,15.9272103,-172.18098095044408
165,1hzh,Ag,111,50.0,-10.0,-164.66738,185.0,40.0,8.5,7.7481081000000005,-164.66737776045784
166,1hzh,Ag,111,4.0,-40.0,-121.93172,175.0,20.0,8.5,6.377139000000001,-121.9276956895552
167,1hzh,Ag,111,50.0,-30.0,-156.42809,175.0,35.0,8.5,11.9900721,-156.42097030175694
168,1hzh,Ag,111,15.0,-50.0,-157.0429,180.0,30.0,6.8,30.9915111,-157.02923941519873
169,1hzh,Ag,111,2.0,-60.0,-108.92302,355.0,170.0,6.8,9.7970295,-108.8491793707652
170,1hzh,Ag,111,45.0,-60.0,-153.47809,85.0,85.0,6.8,15.706994700000001,-153.42922903937594
171,1hzh,Ag,111,40.0,-40.0,-157.08611,180.0,35.0,6.8,37.884677700000005,-157.0860725066612
172,1hzh,Ag,111,10.0,-40.0,-150.07976,120.0,55.0,6.8,13.530834300000002,-149.7915197522528
173,1hzh,Ag,111,35.0,-60.0,-167.13731,80.0,85.0,6.8,22.8409443,-167.13143913198306
174,1hzh,Ag,111,35.0,-30.0,-157.11937,0.0,130.0,6.8,24.1477212,-157.02724909968381
175,1hzh,Ag,111,15.0,-40.0,-182.3796,180.0,30.0,6.8,8.608851300000001,-182.37947260710894
176,1hzh,Ag,111,8.0,-20.0,-141.68342,85.0,95.0,6.8,18.234245100000003,-141.45154778299386
177,1hzh,Ag,111,25.0,-40.0,-156.4838,5.0,130.0,6.8,16.995868500000004,-156.20473357084748
178,1hzh,Ag,111,20.0,0.0,-168.65046,120.0,65.0,6.8,23.822153700000005,-168.6504599987215
179,1hzh,Ag,111,35.0,-40.0,-155.40705,175.0,35.0,6.8,17.833629000000002,-155.40700886815662
180,1hzh,Ag,111,45.0,-40.0,-149.09029,80.0,85.0,6.8,37.050453000000005,-149.01301524220096
181,1hzh,Ag,111,30.0,-10.0,-173.48574,180.0,35.0,6.8,21.9123735,-173.48184026080668
182,1hzh,Ag,111,40.0,-10.0,-146.80704,80.0,85.0,6.8,44.5994856,-146.52202750495513
183,1hzh,Ag,111,2.0,0.0,-103.83619,350.0,170.0,6.8,8.5449828,-103.25879169436628
184,1hzh,Ag,111,2.0,-40.0,-107.86791,0.0,170.0,6.8,11.1673761,-107.4147568130146
185,1hzh,Ag,111,10.0,-60.0,-151.33329,85.0,95.0,6.8,17.0109579,-151.33204643174003
186,1hzh,Ag,111,20.0,-10.0,-156.42912,180.0,35.0,6.8,30.045535200000003,-156.12168527672503
187,1hzh,Ag,111,40.0,-30.0,-143.34934,120.0,120.0,6.8,5.3640078,-142.77307481458703
188,1hzh,Ag,111,20.0,-50.0,-157.52451,120.0,65.0,6.8,33.3840276,-157.4524287375026
189,1hzh,Ag,111,20.0,-60.0,-159.90639,120.0,65.0,6.8,18.519250500000002,-159.73510913193326
190,1hzh,Ag,111,4.0,-60.0,-127.03545,115.0,40.0,6.8,20.958379800000003,-126.84301335173693
